OBJECTID,GEOID,NAME,STATE,COUNTY,DC_HPN_NAME,CODE,HPN_LABEL
71,11001006600,Census Tract 66,District of Columbia,District of Columbia,CAPITOL HILL,N9,N9 CAPITOL HILL
72,11001006700,Census Tract 67,District of Columbia,District of Columbia,CAPITOL HILL,N9,N9 CAPITOL HILL
73,11001006801,Census Tract 68.01,District of Columbia,District of Columbia,HILL EAST,N25,N25 HILL EAST
74,11001006802,Census Tract 68.02,District of Columbia,District of Columbia,HILL EAST,N25,N25 HILL EAST
75,11001006804,Census Tract 68.04,District of Columbia,District of Columbia,STADIUM ARMORY,N42,N42 STADIUM ARMORY
76,11001006900,Census Tract 69,District of Columbia,District of Columbia,HILL EAST,N25,N25 HILL EAST
77,11001007000,Census Tract 70,District of Columbia,District of Columbia,CAPITOL HILL,N9,N9 CAPITOL HILL
78,11001007100,Census Tract 71,District of Columbia,District of Columbia,HILL EAST,N25,N25 HILL EAST
79,11001007200,Census Tract 72,District of Columbia,District of Columbia,SW/WATERFRONT,N43,N43 SW/WATERFRONT
80,11001007301,Census Tract 73.01,District of Columbia,District of Columbia,NAVAL STATION & AIR FORCE,N36,N36 NAVAL STATION & AIR FORCE
81,11001007401,Census Tract 74.01,District of Columbia,District of Columbia,SAINT ELIZABETHS,N39,N39 SAINT ELIZABETHS
82,11001007503,Census Tract 75.03,District of Columbia,District of Columbia,HISTORIC ANACOSTIA,N26,N26 HISTORIC ANACOSTIA
83,11001007504,Census Tract 75.04,District of Columbia,District of Columbia,HISTORIC ANACOSTIA,N26,N26 HISTORIC ANACOSTIA
84,11001007601,Census Tract 76.01,District of Columbia,District of Columbia,TWINING,N46,N46 TWINING
85,11001007603,Census Tract 76.03,District of Columbia,District of Columbia,NAYLOR/HILLCREST,N37,N37 NAYLOR/HILLCREST
86,11001007604,Census Tract 76.04,District of Columbia,District of Columbia,NAYLOR/HILLCREST,N37,N37 NAYLOR/HILLCREST
87,11001007605,Census Tract 76.05,District of Columbia,District of Columbia,TWINING,N46,N46 TWINING
88,11001007703,Census Tract 77.03,District of Columbia,District of Columbia,FORT DUPONT,N20,N20 FORT DUPONT
89,11001007707,Census Tract 77.07,District of Columbia,District of Columbia,MARSHALL HEIGHTS,N32,N32 MARSHALL HEIGHTS
90,11001007708,Census Tract 77.08,District of Columbia,District of Columbia,FORT DUPONT,N20,N20 FORT DUPONT
91,11001007709,Census Tract 77.09,District of Columbia,District of Columbia,TWINING,N46,N46 TWINING
92,11001007803,Census Tract 78.03,District of Columbia,District of Columbia,EASTLAND GARDENS,N17,N17 EASTLAND GARDENS
93,11001007804,Census Tract 78.04,District of Columbia,District of Columbia,LINCOLN HEIGHTS,N30,N30 LINCOLN HEIGHTS
94,11001007806,Census Tract 78.06,District of Columbia,District of Columbia,LINCOLN HEIGHTS,N30,N30 LINCOLN HEIGHTS
95,11001007807,Census Tract 78.07,District of Columbia,District of Columbia,LINCOLN HEIGHTS,N30,N30 LINCOLN HEIGHTS
96,11001007808,Census Tract 78.08,District of Columbia,District of Columbia,LINCOLN HEIGHTS,N30,N30 LINCOLN HEIGHTS
97,11001007809,Census Tract 78.09,District of Columbia,District of Columbia,LINCOLN HEIGHTS,N30,N30 LINCOLN HEIGHTS
98,11001007901,Census Tract 79.01,District of Columbia,District of Columbia,KINGMAN PARK,N28,N28 KINGMAN PARK
99,11001007903,Census Tract 79.03,District of Columbia,District of Columbia,KINGMAN PARK,N28,N28 KINGMAN PARK
100,11001008001,Census Tract 80.01,District of Columbia,District of Columbia,KINGMAN PARK,N28,N28 KINGMAN PARK
101,11001008002,Census Tract 80.02,District of Columbia,District of Columbia,KINGMAN PARK,N28,N28 KINGMAN PARK
102,11001008100,Census Tract 81,District of Columbia,District of Columbia,KINGMAN PARK,N28,N28 KINGMAN PARK
103,11001008200,Census Tract 82,District of Columbia,District of Columbia,CAPITOL HILL,N9,N9 CAPITOL HILL
104,11001008301,Census Tract 83.01,District of Columbia,District of Columbia,UNION STATION,N48,N48 UNION STATION
105,11001008302,Census Tract 83.02,District of Columbia,District of Columbia,UNION STATION,N48,N48 UNION STATION
106,11001008402,Census Tract 84.02,District of Columbia,District of Columbia,UNION STATION,N48,N48 UNION STATION
107,11001008410,Census Tract 84.10,District of Columbia,District of Columbia,UNION STATION,N48,N48 UNION STATION
108,11001008701,Census Tract 87.01,District of Columbia,District of Columbia,BLOOMINGDALE,N5,N5 BLOOMINGDALE
109,11001008702,Census Tract 87.02,District of Columbia,District of Columbia,EDGEWOOD,N18,N18 EDGEWOOD
110,11001008802,Census Tract 88.02,District of Columbia,District of Columbia,TRINIDAD,N45,N45 TRINIDAD
111,11001008803,Census Tract 88.03,District of Columbia,District of Columbia,TRINIDAD,N45,N45 TRINIDAD
112,11001008804,Census Tract 88.04,District of Columbia,District of Columbia,TRINIDAD,N45,N45 TRINIDAD
113,11001008903,Census Tract 89.03,District of Columbia,District of Columbia,TRINIDAD,N45,N45 TRINIDAD
114,11001008904,Census Tract 89.04,District of Columbia,District of Columbia,TRINIDAD,N45,N45 TRINIDAD
115,11001009000,Census Tract 90,District of Columbia,District of Columbia,FORT LINCOLN/GATEWAY,N21,N21 FORT LINCOLN/GATEWAY
116,11001009102,Census Tract 91.02,District of Columbia,District of Columbia,BRENTWOOD,N6,N6 BRENTWOOD
117,11001009201,Census Tract 92.01,District of Columbia,District of Columbia,EDGEWOOD,N18,N18 EDGEWOOD
118,11001009203,Census Tract 92.03,District of Columbia,District of Columbia,BLOOMINGDALE,N5,N5 BLOOMINGDALE
119,11001009204,Census Tract 92.04,District of Columbia,District of Columbia,EDGEWOOD,N18,N18 EDGEWOOD
120,11001009301,Census Tract 93.01,District of Columbia,District of Columbia,BRENTWOOD,N6,N6 BRENTWOOD
121,11001009302,Census Tract 93.02,District of Columbia,District of Columbia,BRENTWOOD,N6,N6 BRENTWOOD
122,11001009400,Census Tract 94,District of Columbia,District of Columbia,WOODRIDGE,N51,N51 WOODRIDGE
123,11001009501,Census Tract 95.01,District of Columbia,District of Columbia,MICHIGAN PARK,N33,N33 MICHIGAN PARK
124,11001009503,Census Tract 95.03,District of Columbia,District of Columbia,WOODRIDGE,N51,N51 WOODRIDGE
