OBJECTID,GEOGRAPHIC ID NUMBER,CENSUS TRACT,NEIGHBORHOOD NAME,CODE,NEIGHBORHOOD NUMBER
1,11001000100,1,GEORGETOWN EAST,N23,N23 GEORGETOWN EAST
2,11001000201,2.01,GEORGETOWN,N22,N22 GEORGETOWN
3,11001000202,2.02,GEORGETOWN,N22,N22 GEORGETOWN
4,11001000300,3,CATHEDRAL HEIGHTS,N10,N10 CATHEDRAL HEIGHTS
5,11001000400,4,WOODLEY PARK,N50,N50 WOODLEY PARK
6,11001000501,5.01,WOODLEY PARK,N50,N50 WOODLEY PARK
7,11001000502,5.02,WOODLEY PARK,N50,N50 WOODLEY PARK
8,11001000600,6,WOODLEY PARK,N50,N50 WOODLEY PARK
9,11001000701,7.01,CATHEDRAL HEIGHTS,N10,N10 CATHEDRAL HEIGHTS
10,11001000702,7.02,CATHEDRAL HEIGHTS,N10,N10 CATHEDRAL HEIGHTS
11,11001000801,8.01,KENT/PALISADES,N27,N27 KENT/PALISADES
12,11001000802,8.02,KENT/PALISADES,N27,N27 KENT/PALISADES
13,11001000901,9.01,KENT/PALISADES,N27,N27 KENT/PALISADES
14,11001000902,9.02,KENT/PALISADES,N27,N27 KENT/PALISADES
15,11001001001,10.01,TENLEYTOWN,N44,N44 TENLEYTOWN
16,11001001002,10.02,CATHEDRAL HEIGHTS,N10,N10 CATHEDRAL HEIGHTS
17,11001001100,11,TENLEYTOWN,N44,N44 TENLEYTOWN
18,11001001200,12,TENLEYTOWN,N44,N44 TENLEYTOWN
19,11001001301,13.01,FOREST HILLS,N19,N19 FOREST HILLS
20,11001001302,13.02,FOREST HILLS,N19,N19 FOREST HILLS
21,11001002002,20.02,16th ST HEIGHTS,N1,N1 16th ST HEIGHTS
22,11001002201,22.01,PETWORTH,N38,N38 PETWORTH
23,11001002202,22.02,PETWORTH,N38,N38 PETWORTH
24,11001002301,23.01,PETWORTH,N38,N38 PETWORTH
